N E Topografia b-sedidmentos b-basalto b-and-cuater b-toba b-and-terc b-lechos
2166.5 563.5 -1.895 -1.804665063 -1.804665063 -1.804665063 -1.604665063 -1.588194485 -1.56515649
2166.5 564.5 -1.878 -1.795781075 -1.795781075 -1.795781075 -1.595781075 -1.595781075 -1.57333951
2166.5 565.5 -1.867 -1.797335931 -1.793493076 -1.793493076 -1.593493076 -1.593214428 -1.574980217
2166.5 566.5 -1.86 -1.801577116 -1.794494809 -1.794494809 -1.600914534 -1.581660733 -1.569851147
2166.5 567.5 -1.856 -1.815503056 -1.794857343 -1.794857343 -1.668852843 -1.5643535 -1.558851608
2166.5 568.5 -1.854 -1.794640891 -1.794063671 -1.794063671 -1.794063671 -1.543964297 -1.543964297
2167.5 536.5 -2.164 -2.164 -2.164 -1.697842519 -1.497842519 -1.163936055 -1.063936055
2167.5 537.5 -2.138 -2.138 -2.138 -1.69109879 -1.49109879 -1.224882578 -1.124882578
2167.5 538.5 -2.231 -2.231 -2.231 -1.687412851 -1.487412851 -1.290616502 -1.190616502
2167.5 539.5 -2.184 -2.184 -2.184 -1.696657035 -1.500962025 -1.364435832 -1.264435832
2167.5 540.5 -2.132 -2.132 -2.132 -1.725536016 -1.525536016 -1.445172953 -1.345172953
2167.5 541.5 -2.214 -2.214 -2.214 -1.771489594 -1.571489594 -1.527285131 -1.427285131
2167.5 542.5 -2.115 -2.115 -2.115 -1.822596713 -1.622596713 -1.60262813 -1.50262813
2167.5 543.5 -2.099 -2.099 -2.099 -1.871274584 -1.671274584 -1.665393852 -1.565393852
2167.5 544.5 -2.064 -2.064 -2.064 -1.912938064 -1.712938064 -1.712938064 -1.613083278
2167.5 545.5 -2.067 -2.067 -2.067 -1.94443927 -1.74443927 -1.74443927 -1.648527618
2167.5 546.5 -2.018 -2.018 -2.018 -1.959535375 -1.764553325 -1.757992462 -1.671632369
2167.5 547.5 -1.989 -1.989 -1.989 -1.96198257 -1.76198257 -1.756602909 -1.680578505
2167.5 548.5 -1.974 -1.974 -1.974 -1.944661183 -1.840826847 -1.742919502 -1.67378228
2167.5 549.5 -1.953 -1.953 -1.953 -1.919164035 -1.757874664 -1.725048345 -1.653077411
2167.5 550.5 -1.947 -1.947 -1.947 -1.89537235 -1.706370572 -1.706370572 -1.624615885
2167.5 551.5 -1.924 -1.924 -1.924 -1.880825786 -1.687817239 -1.687817239 -1.597343866
2167.5 552.5 -1.936 -1.936 -1.936 -1.884739713 -1.684739713 -1.665150397 -1.577006095
2167.5 553.5 -1.918 -1.918 -1.918 -1.894826279 -1.694826279 -1.631111694 -1.562281245
2167.5 554.5 -1.921 -1.921 -1.921 -1.901521532 -1.785123482 -1.589112805 -1.547192574
2167.5 555.5 -1.916 -1.916 -1.916 -1.900845851 -1.854526175 -1.545445564 -1.526948564
2167.5 556.5 -1.924 -1.90228584 -1.892337441 -1.892337441 -1.87106862 -1.506892743 -1.502148047
2167.5 557.5 -1.923 -1.909857658 -1.879333355 -1.879333355 -1.87042236 -1.478211281 -1.478211281
2167.5 558.5 -1.925 -1.882793338 -1.878795688 -1.866569899 -1.813290884 -1.461540824 -1.461540824
2167.5 559.5 -1.92 -1.887530422 -1.872734489 -1.852236713 -1.75271134 -1.45504555 -1.45504555
2167.5 560.5 -1.909 -1.889500619 -1.858242551 -1.836256309 -1.706444494 -1.457787055 -1.456432378
2167.5 561.5 -1.89 -1.868845005 -1.824393586 -1.819643018 -1.695871878 -1.467328896 -1.46290324
2167.5 562.5 -1.872 -1.843660203 -1.806029072 -1.806029072 -1.677194184 -1.480202662 -1.471729483
2167.5 563.5 -1.857 -1.825173194 -1.798321957 -1.798321957 -1.663726677 -1.491577009 -1.480193047
2167.5 564.5 -1.851 -1.836955831 -1.797382451 -1.797382451 -1.6628196 -1.497261299 -1.485822314
2167.5 565.5 -1.852 -1.832921024 -1.80101932 -1.80101932 -1.671977907 -1.496078974 -1.486951268
2167.5 566.5 -1.848 -1.833752509 -1.805734601 -1.805734601 -1.671025487 -1.489046803 -1.483135647
2167.5 567.5 -1.846 -1.808938315 -1.808938315 -1.808938315 -1.649238644 -1.478549172 -1.475242113
2167.5 568.5 -1.845 -1.835 -1.80925517 -1.80925517 -1.723731011 -1.466048998 -1.465143394
2168.5 436 -2.401 -2.401 -2.401 -2.401 -2.201 -1.601 -1.501
2168.5 536.5 -2.168 -2.168 -2.168 -1.770255474 -1.570255474 -1.324647244 -1.224647244
2168.5 537.5 -2.089 -2.089 -2.089 -1.720170042 -1.666046146 -1.345024409 -1.245149431
2168.5 538.5 -2.081 -2.081 -2.081 -1.687082494 -1.687082494 -1.370399125 -1.2716696
2168.5 539.5 -2.11 -2.11 -2.11 -1.678570641 -1.678570641 -1.406876949 -1.307490517
2168.5 540.5 -2.073 -2.073 -2.073 -1.694494993 -1.534817984 -1.453582205 -1.353582205
2168.5 541.5 -2.115 -2.115 -2.115 -1.729329936 -1.529329936 -1.507563674 -1.407563674
2168.5 542.5 -2.137 -2.137 -2.137 -1.77277902 -1.57277902 -1.563525378 -1.463525378
2168.5 543.5 -2.013 -2.013 -2.013 -1.817876342 -1.617876342 -1.616451825 -1.516451825
2168.5 544.5 -2.016 -2.016 -2.016 -1.864286466 -1.664286466 -1.662723293 -1.562723293
2168.5 545.5 -2.017 -2.017 -2.017 -1.902521022 -1.702521022 -1.694874377 -1.597862487
2168.5 546.5 -1.982 -1.982 -1.982 -1.923707551 -1.781520014 -1.704236676 -1.62386298
2168.5 547.5 -1.944 -1.944 -1.944 -1.926571343 -1.852153649 -1.694579677 -1.63734242
2168.5 548.5 -1.922 -1.922 -1.922 -1.90982638 -1.866535795 -1.6733961 -1.63328233
2168.5 549.5 -1.905 -1.905 -1.905 -1.884478593 -1.785584346 -1.650692332 -1.610487209
2168.5 550.5 -1.896 -1.896 -1.896 -1.861839381 -1.661839381 -1.631318693 -1.575109695
2168.5 551.5 -1.901 -1.901 -1.901 -1.854783215 -1.654783215 -1.611017581 -1.539550187
2168.5 552.5 -1.903 -1.903 -1.903 -1.862061726 -1.662061726 -1.579954085 -1.512551518
2168.5 553.5 -1.9 -1.9 -1.9 -1.874114351 -1.674114351 -1.538378622 -1.493015626
2168.5 554.5 -1.889 -1.889 -1.889 -1.879 -1.833714786 -1.49483488 -1.474206963
2168.5 555.5 -1.907 -1.897 -1.878017786 -1.878017786 -1.878017786 -1.45660471 -1.451564675
2168.5 556.5 -1.9 -1.89 -1.863859607 -1.863859607 -1.863859607 -1.42675812 -1.42675812
2168.5 557.5 -1.895 -1.885 -1.844168631 -1.844168631 -1.844168631 -1.405864349 -1.405864349
2168.5 558.5 -1.89 -1.852999017 -1.829628279 -1.829628279 -1.785191482 -1.393289522 -1.393289522
2168.5 559.5 -1.891 -1.856644208 -1.815863056 -1.815863056 -1.714387902 -1.387491593 -1.387491593
2168.5 560.5 -1.886 -1.832464743 -1.802960725 -1.802960725 -1.680853053 -1.386570713 -1.386230759
2168.5 561.5 -1.86 -1.836608555 -1.792010803 -1.792010803 -1.697967107 -1.388952836 -1.387784891
2168.5 562.5 -1.846 -1.830925297 -1.786146663 -1.786146663 -1.709282083 -1.393403575 -1.391058132
2168.5 563.5 -1.843 -1.825982489 -1.787007468 -1.787007468 -1.720258018 -1.398075534 -1.394908422
2168.5 564.5 -1.841 -1.830820692 -1.794106264 -1.794106264 -1.717851446 -1.401221945 -1.39792595
2168.5 565.5 -1.841 -1.82600542 -1.804346143 -1.804346143 -1.720562532 -1.401118694 -1.398552325
2168.5 566.5 -1.84 -1.819336599 -1.813854441 -1.813854441 -1.722590093 -1.397342133 -1.395807267
2168.5 567.5 -1.841 -1.82263818 -1.819843124 -1.819843124 -1.719039018 -1.391161632 -1.390050932
2168.5 568.5 -1.837 -1.822506402 -1.822506402 -1.822506402 -1.622506402 -1.385290637 -1.382910475
2169.5 436 -2.295 -2.295 -2.295 -2.295 -2.227646387 -1.717082101 -1.617082101
2169.5 536.5 -2.211 -2.211 -2.211 -1.836526583 -1.636526583 -1.488574787 -1.388574787
2169.5 537.5 -2.114 -2.114 -2.114 -1.769836487 -1.743638884 -1.473751328 -1.374120248
2169.5 538.5 -2.037 -2.037 -2.037 -1.719671159 -1.719671159 -1.463833097 -1.364580669
2169.5 539.5 -2.014 -2.014 -2.014 -1.691871076 -1.691871076 -1.463104799 -1.363104799
2169.5 540.5 -1.999 -1.999 -1.999 -1.68391476 -1.579332969 -1.471873759 -1.371873759
2169.5 541.5 -2.01 -2.01 -2.01 -1.692406448 -1.602736306 -1.492532977 -1.392532977
2169.5 542.5 -2.016 -2.016 -2.016 -1.722628856 -1.565311923 -1.525720492 -1.425720492
2169.5 543.5 -1.995 -1.995 -1.995 -1.768075693 -1.568075693 -1.568075693 -1.468075693
